row_id,account_id,name,product,country,active_from,active_to
1,6b4bea38-1541-4c68-826e-087f59f1dc64,Aaren,GMC,Iceland,2019-10-08,2021-10-06
2,9e072045-8149-4b9c-91fd-79b54f228b09,Aaron,Lincoln,Iceland,2017-09-17,2019-05-09
3,b7732327-8e29-4d37-a25d-8289d5873b1d,Ab,Bentley,Uganda,2020-02-05,2021-02-12
4,46e76632-35f5-4669-bb33-6f1e6cfbcc07,Abagail,Hyundai,Pakistan,2021-05-20,2023-11-14
5,b6854e2b-38df-440a-a127-52c3ea7684e9,Abba,Lincoln,Cambodia,2015-02-15,2016-12-16
6,f2621b91-a1a1-48ec-9885-e9e5708a9e00,Abbe,Subaru,Bahamas,2020-02-16,2022-03-17
7,00f29853-e76a-4e3d-b39c-746615a62c7b,Abbey,Lincoln,Pakistan,2017-01-31,2017-02-16
8,41be12cb-662c-4f51-99f1-f0801abebfc1,Abbie,Kia,Cambodia,2021-04-06,2022-07-20
9,1100c90d-1460-4e35-8862-92ee5f00132d,Abby,Saab,Namibia,2016-08-10,2018-01-06
10,656960cb-d1fc-48da-875b-c6d13d1c8e8a,Abdul,Rolls-Royce,Vanuatu,2017-03-31,2018-01-18
11,8cbbfd9c-bf50-404f-b347-35f3a3feb154,Abel,Ford,Bahamas,2019-01-04,2019-06-14
12,bdfa5f70-5398-4118-a968-0dd3aa491867,Abeu,Lexus,Iceland,2016-02-19,2016-06-23
13,789c2cb4-51b1-4234-9a77-6bf1080d2aa3,Abey,GMC,Cambodia,2018-02-05,2019-05-15
14,c74ef93d-258a-409b-b149-1ed17a2028d6,Abram,Pontiac,Cambodia,2015-05-04,2015-09-16
15,2bdd4c86-5de9-4157-8de3-fd87b0710cdb,Adan,Volkswagen,Taiwan,2020-06-28,2021-08-13
16,feb4410f-d981-44c5-8e0f-a2c33008c4db,Addie,Honda,Macedonia,2021-06-29,2023-06-12
17,894ebc07-ca93-4d8a-b0df-31a744d5bfd8,Addy,Eagle,Bahamas,2018-11-08,2021-02-22
18,894ebc07-ca93-4d8a-b0df-31a744d5bfd8,Addy,GMC,Cambodia,2016-08-05,2017-02-18
19,a35c1e1f-4080-4a8f-aa61-b1c2fdd2de83,Ade,Nissan,Jamaica,2020-02-12,2020-07-26
20,056ab535-dcad-48bf-9c3e-9197efad920a,Adelbert,GMC,Macedonia,2017-08-29,2018-08-23
21,056ab535-dcad-48bf-9c3e-9197efad920a,Adelbert,Pontiac,Cambodia,2020-08-18,2021-02-21
22,bbffe887-73bf-454f-bb78-e1bfb8258b61,Adelheid,Chrysler,"Saint Kitts and Nevis",2021-08-20,2022-04-02
23,af5213e3-5a0f-40a6-97f0-5f82a16dc04b,Adelle,Mitsubishi,Bahamas,2019-12-16,2019-12-19
24,7a593c3f-fade-4d4b-b424-8f9660c30b19,Adena,Ford,Taiwan,2016-12-11,2018-05-13
25,c2027e1a-33d4-4d1d-8bcb-8f1316f70df6,Adey,Pontiac,"Republic of the Congo",2020-05-29,2022-09-24
26,bac7c984-a15c-4fef-a3a5-d730d895a039,Adham,Maybach,Cambodia,2021-03-18,2022-07-19
27,4929fd22-d7d0-46bd-b97a-a6812d6a0fb1,Adlai,Honda,Laos,2020-05-09,2022-03-30
28,4929fd22-d7d0-46bd-b97a-a6812d6a0fb1,Adlai,Mitsubishi,Iceland,2020-06-26,2021-04-22
29,06ad9861-1c2a-4fa4-8e4a-7c39f3651673,Adler,Acura,Bahamas,2021-03-12,2022-02-01
30,088d0125-4f13-430d-aaed-5260375a6dd2,Adolf,Toyota,Cambodia,2017-11-06,2017-12-11
31,f14fb328-f587-4a32-8a3c-06bff7f8bd3a,Adolph,Ford,Iceland,2018-10-27,2021-03-23
32,da12d4cc-8ac8-4319-88e4-bc79b9006459,Adolphe,Mercury,Cambodia,2019-07-25,2020-03-15
33,b02debd7-f09d-478e-9ba3-8faaf60164a9,Adolpho,Honda,Haiti,2017-02-17,2018-03-23
34,953414cc-6fe3-4c54-8f7f-9e23a0033cec,Adora,Nissan,Cambodia,2021-06-01,2022-07-14
35,754674d0-9bbd-44b5-a402-2ef00fb6c816,Adore,Mercedes-Benz,Cambodia,2017-01-16,2018-10-19
36,754674d0-9bbd-44b5-a402-2ef00fb6c816,Adore,Panoz,Finland,2016-02-05,2016-06-13
37,0bbbb835-d5a4-4a97-b5cb-c1a7d8af90cd,Adoree,Maybach,"Republic of the Congo",2015-02-28,2016-06-17
38,0bbbb835-d5a4-4a97-b5cb-c1a7d8af90cd,Adoree,Mazda,Iceland,2018-02-05,2019-02-15
